uuid;title;price;image;coordinates;guests;bedrooms;beds;bathrooms;description
91bb3d25-dd6e-4788-8bb0-d99d000b0211;Revolt Apartment;50;IMG-91bb3d25-dd6e-4788-8bb0-d99d000b0211.jpg;53.90341000,27.55407700;3;1;1;2;In a central area of Minsk, located within a short distance of Palace of Republic and Palova Arena, Revolt Apartment offers free WiFi, air conditioning and household amenities such as a dishwasher and kettle. It is situated less than 1 km from Minsk Sports Palace and provides room service. The apartment comes with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with lake views. Guests at the apartment can enjoy a à la carte breakfast. Speaking Arabic, German, English and Russian at the reception, staff are ready to help around the clock. A car rental service is available at Revolt Apartment. Dinamo Stadium is less than 1 km from the accommodation, while Olympic Tennis Centre is 3.2 km away. The nearest airport is Minsk National, 31 km from Revolt Apartment, and the property offers a paid airport shuttle service. 
daf4ce7b-3c28-4a46-9822-bb320b83fa14;Apartland Griboedova;62;IMG-daf4ce7b-3c28-4a46-9822-bb320b83fa14.jpg;53.90936000,27.52099800;6;2;3;1;Situated 5 km from Palace of Republic, Apartland Griboedova offers accommodation with a balcony and free WiFi. Featuring a kitchen with a microwave and a fridge, each unit also comes with a cable flat-screen TV, ironing facilities, wardrobe and a seating area with a sofa. There is a private bathroom with shower and a hairdryer in each unit, along with free toiletries. A children's playground is available for guests to use at the apartment. Dinamo Stadium is 5 km from Apartland Griboedova, while Palova Arena is 5 km from the property. The nearest airport is Minsk National Airport, 39 km from the accommodation. 
bc06f203-6300-4991-8349-4065a554b710;Renaissance Minsk Hotel by Marriott;27;IMG-bc06f203-6300-4991-8349-4065a554b710.jpg;53.89243452,27.52931356;6;2;3;1;Renaissance Minsk Hotel by Marriott is the first hotel in Belarus of the famous international hotel chain Marriott.Renaissance Minsk Hotel by Marriott features a sauna, fitness centre, indoor pool and spa and wellness centre. Free WiFi and free parking are available on site.The hotel offers 267 rooms of different categories: from spacious, elegant style Standard room (30m2) to exquisite Penthouse Renaissance and luxurious Presidential Suite. All rooms are equipped with high speed internet access (Wi-fi), interactive TV system, mini bar, in-room safe. The hotel has 2 rooms for disabled people. Most rooms have a balcony. The modern rooms and suites offer air conditioning, a working area, electric kettle and flat-screen TV with satellite channels. The spacious bathrooms provide a hairdryer. Guests can dine in the property’s Arborea Restaurant, serving European and national cuisine, or eat out in the cafes and restaurants nearby. There is also a bar on site. Room service and breakfasts in the room are provided upon request.Our Executive Lounge located on the top floor of the hotel, offers a complimentary continental breakfast, refreshments during the day along with evening hot dishes and drinks. Available for guests in rooms with Executive Lounge access (Club level and up). Business bookers will appreciate a modern business centre facilities. Grushevka Metro Station is 2 km from the property. Minsk Train Station is 2.7 km away, and Minsk National Airport is 55 km from Renaissance Minsk Hotel by Marriott. 
e53e7ff6-57f3-4136-861f-fa5402cc36e5;Prestige New ApartComplex Немига, Исторический центр - Минск;52;IMG-e53e7ff6-57f3-4136-861f-fa5402cc36e5.jpg;53.89881175,27.54371436;2;3;3;1;With city views, Prestige New ApartComplex Немига, Исторический центр - Минск is set in Minsk and has a restaurant, a 24-hour front desk, bar, garden, children's playground and terrace. Complimentary WiFi is offered throughout the property. Featuring a kitchen with a microwave and a fridge, each unit also comes with a cable flat-screen TV, ironing facilities, desk and a seating area with a sofa bed. There is a fully equipped private bathroom with bath and a hairdryer. A continental breakfast is available every morning at the aparthotel. Popular points of interest near Prestige New ApartComplex Немига, include Dinamo Stadium, Palace of Republic and Palova Arena. The nearest airport is Minsk National, 32 km from the accommodation, and the property offers a paid airport shuttle service. 
e616c4ab-c0e4-4cd5-ab68-ed6b6a9bf16e;Spacious Luxury Apartments;60;IMG-e616c4ab-c0e4-4cd5-ab68-ed6b6a9bf16e.jpg;53.90536214,27.55258978;4;1;1;2;In a central area of Minsk, located within a short distance of Palova Arena and Minsk Sports Palace, Spacious Luxury Apartments offers free WiFi, air conditioning and household amenities such as a dishwasher and kettle. It is situated 1.1 km from Palace of Republic and provides room service. The apartment comes with 4 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a patio with city views. The apartment offers a terrace. A car rental service is available at Spacious Luxury Apartments. Dinamo Stadium is 1.7 km from the accommodation, while Falcon Club is 5 km away. The nearest airport is Minsk National, 41 km from Spacious Luxury Apartments, and the property offers a paid airport shuttle service. 
3636be59-9d62-43b3-8cd8-3354a95c5b7a;Imperial Palace Hotel;44;IMG-3636be59-9d62-43b3-8cd8-3354a95c5b7a.jpg;53.89871500,27.54522090;4;2;2;1;Featuring a bar, shared lounge and views of city, Imperial Palace Hotel is set in Minsk, 1.5 km from Palace of Republic. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi throughout the property. The hotel features family rooms. The units come with air conditioning, a flat-screen TV with cable channels, a fridge, a kettle, a shower, bathrobes and a desk. The hotel offers certain units that feature a safety deposit box, and every room has a private bathroom and a wardrobe. At Imperial Palace Hotel all rooms come with bed linen and towels. Guests at the accommodation can enjoy a buffet breakfast. Imperial Palace Hotel offers a terrace. The area is popular for hiking, and car hire is available at the hotel. Popular points of interest near Imperial Palace Hotel include Dinamo Stadium, Palova Arena and Minsk Sports Palace. The nearest airport is Minsk National, 44 km from the accommodation, and the property offers a paid airport shuttle service. 
64a76dd7-3bf7-4f7e-bc5c-b22b477f14e5;Apartments Pushkin;47;IMG-64a76dd7-3bf7-4f7e-bc5c-b22b477f14e5.jpg;53.90753949,27.47402519;4;3;1;1;These luxury apartments are situated 300 m from Sportivnaya Metro Station, 5 km from the centre of Minsk. All include free Wi-Fi, a fully equipped kitchen and a balcony. The air-conditioned Apartments Pushkin feature modern décor and parquet floors. Guests will also find a flat-screen TV and private bathroom. Belarussian cuisine is served in the Vasilki restaurant, 50 m away. Apartments Pushkin are within a 5-minute walk of many shops, restaurants,the SKALA hypermarket, the Avrora cinema. Minsk Train Station is 5 km or 5 metro stops from the apartments. A transfer can be arranged to Minsk Airport, 50 km away. 
795b9fb8-0011-4494-a01b-cce5449738de;Boutique Hotel Buta;34;IMG-795b9fb8-0011-4494-a01b-cce5449738de.jpg;53.89947408,27.54722533;4;3;3;1;Located in Minsk city centre, Boutique Hotel Buta features accommodation with a casino B-club. Free WiFi and free parking are provided on site. The rooms are decorated in bright colours and offer air conditioning, a minibar, telephone, electric kettle and flat-screen TV with cable channels. The bathrooms provide a hairdryer, free toiletries, bathrobes and slippers. Guests can dine in the on-site 24-hour Buta Restaurant, serving dishes of European and Belarusian cuisine, and there is also a bar in the hotel. Room service is provided upon request. Trinity Suburb is 1.5 km away, and Nyamiha Metro Station is a 10-minute walk from the property. Frunzenskaya Metro Station is 1 km away. Minsk Train and Bus Stations are 1 km away, and Minsk National Airport is 45 km from Boutique Hotel Buta. 
9f0e97d2-7692-408f-a33d-21f6f3c533fb;Hotel Yubileiny;69;IMG-9f0e97d2-7692-408f-a33d-21f6f3c533fb.jpg;53.91143574,27.54683375;4;2;3;2;"The main advantage of the Нotel Yubileyny is its location in the Central district of Minsk and its close proximity to the main attractions. The historical center of the city - Troitsky suburb, the Minsk Hero City Stele , the Museum of the Great Patriotic War, the Palace of Sports , the shopping center ""Galleria Minsk"" are within walking distance.The Нotel Yubileiny has everything for a comfortable stay and relaxation: free Wi-Fi in all rooms, laundry and dry cleaning services, ironing room, restaurant, hair salon, coffee shop, currency exchange and ATM, secure parking for cars (paid), luggage storage (free), organization of excursions, casino. The peace of mind of the hotel's guests is ensured by the security service, video surveillance system and modern fire alarm system.The hotel complex has convenient transport links. The bus stop is located next to the hotel. The metro station ""Nemiga"" / ""Frunzenskaya"" is less than 600 m. The distance to the airport is 45 km, to the train station- 4 km. A shuttle service to the airport is available at an additional cost.The restaurant serves Belarusian and European cuisine. Special and children's menus are available on request.Kindness and cordiality are the main principles of our staff, so every guest is extremely important to us!We speak your language! "
07524f42-ead8-4b42-9d14-baec14f32734;Victoria Hotel & Business centre Minsk;38;IMG-07524f42-ead8-4b42-9d14-baec14f32734.jpg;53.92184292,27.52708197;4;1;4;1;Featuring free Wi-Fi and a beauty salon, this hotel is part of Victoria Hotel Minsk chain and is located in Minsk, 5 minutes’ walk from the Victory Park and the Svislach River embankment. It offers air-conditioned rooms with a minibar. Free private parking is available to guests. All the modern rooms at Victoria Hotel Minsk include individual décor with wall art and a flat-screen TV. A hairdryer is provided in the bathrooms. The Victoria’s stylish restaurants serve national and European cuisine, the Lobby Bar offers snacks and drinks. Guests are offered free access to the aqua zone one time per day. A shopping centre and a concert hall are next to the hotel. Komsomolskoye Ozero bus stop is 50 m from Victoria Hotel Minsk, offering a link to Nemiga Metro Station and Minsk Train Station. Belexpo Exhibition Centre is 13 minutes’ walk away, while Minsk Airport is 45 km from the hotel. 
dabe38a1-17a8-4e9a-b0b4-bc86818f500e;President Hotel;32;IMG-dabe38a1-17a8-4e9a-b0b4-bc86818f500e.jpg;53.89933183,27.56577015;3;3;4;1;This hotel is located in the heart of Minsk, just a 5-minute walk from Oktyabrskaya Square. Free fitness centre, an indoor pool and free Wi-Fi are available at President Hotel. Nezavisimosti Square is a 15-minute walk away. The elegant, air-conditioned rooms offer warm-coloured interiors and classic-style décor. Each modern room includes a flat-screen TV, a minibar and a private bathroom fitted with slippers. Ironing facilities are also available. Breakfast is served at the Stolitsa restaurant that offers Belorussian and European cuisine. Guests can relax in the sauna or a steam bath. Other facilities include a beauty salon, a car rental and a gift shop. Kupalovskaya Metro Station is only a 3-minute walk from President Hotel. Minsk Central Train Station is 1.5 km away, and Minsk National Airport is 41 km from the hotel. 
4e1f23cd-907a-4e8b-8fd5-67f62bc7f299;Minsklux Apartment 2;47;IMG-4e1f23cd-907a-4e8b-8fd5-67f62bc7f299.jpg;53.89967161,27.55972043;3;2;2;2;Featuring free Wi-Fi and a flat-screen TV, these apartments in central Minsk offer comfortable accommodation with a fully equipped kitchen and a DVD player. Trinity Hill is within a 5-minute walk away. Each apartment at Minsklux Apartments 2 has a modern design and comes with a washing machine. A hairdryer is provided in bathrooms. Guests of Minsklux can cook their meals in the fully equipped kitchen, or explore the dining options within a 2-minute walk of the property. Minsklux Apartments offer good access to local attractions, such as the Palace of Republic or the 17th-century Holy Spirit Cathedral. The Opera and Ballet Theatre is 10 minutes’ walk away. Minsklux Apartments are a 10-minute drive from Minsk Train Station, and a shuttle service is available. Minsk Airport is 50 minutes’ drive away. 
53de601d-2435-44c2-80e6-c4516ee3ff98;Belarus Hotel;53;IMG-53de601d-2435-44c2-80e6-c4516ee3ff98.jpg;53.91507886,27.55063176;6;1;1;1;Offering a restaurant, Belarus Hotel is located in Minsk, a 5-minute walk from Saint Mariya Magdalena Church and the Svislach River. It features a swimming pool and a fitness centre that can be used at an extra charge. Free Wi-Fi access is available. Rooms here will provide you with a flat-screen TV, wardrobe and a seating area. Featuring a bath or shower, private bathrooms also come with towels. Guests are welcome to visit the on-site restaurant and taste Belorussian and European cuisine. Other facilities offered include a tour desk and luggage storage. The property offers free parking. Minsk International Airport is located a 40-minute drive from the property, and Minsk Train Station is a 15-minute drive away. 
e923a082-f7bf-44ac-832e-638c6d7227c6;Beijing Hotel Minsk;57;IMG-e923a082-f7bf-44ac-832e-638c6d7227c6.jpg;53.89236714,27.57867157;4;1;4;2;Offering an indoor pool, as well as a spa and wellness centre, Beijing Hotel Minsk is located in Minsk, 200 m from Pervomayskaya Metro Station. Free Wi-Fi access is available. Rooms here will provide you with a flat-screen TV, air conditioning and a minibar. Complete with a refrigerator, the dining area also has an electric kettle. The private bathrooms come with a bath and shower, hairdryer and a bathrobe. Some rooms have a garden view. At Beijing Hotel Minsk you will find a Chinese restaurant and a cafeteria with European dishes. There is a fitness centre, beauty salon, casino and a conference room available for guests. Other facilities offered include a shared lounge and shops (on site). National Art Museum, Kupala Theatre and Republic Palace are located nearby. The distance to Minsk National Airport is 40 km from the property, and Minsk Train Station is 1 km away. 
47ab0c45-b15a-4078-9c0c-8df3adc2b4eb;Victoria Olimp Hotel & Business centre Minsk;45;IMG-47ab0c45-b15a-4078-9c0c-8df3adc2b4eb.jpg;53.93564563,27.49467011;6;2;1;2;Offering a restaurant and a fitness centre, Victoria Olimp Hotel is located in the queit area of Minsk. Free Wi-Fi access is available. Rooms here will provide you with a flat-screen TV, air conditioning and a minibar. The private bathrooms also come with a bath, hairdryer and free toiletries. Extras include a seating area. Guests are welcome to visit Olympia Restaurant and taste Belorussian and European cuisine. Other facilities include a lobby bar and sauna. Minsk Arena is located a 5-minute walk away Minsk city centre is located a 10-minute drive from the property. Minsk International Airport is a 1-hour drive from Victoria Olimp Hotel, and Minsk Train Station is a 15-minute drive away. 
890cd315-46dc-408c-9293-24de457ad2d4;Fully Renovated 2Bdr Apt in the Heart of Minsk;50;IMG-890cd315-46dc-408c-9293-24de457ad2d4.jpg;53.90190132,27.55255273;3;2;4;2;Fully Renovated 2Bdr Apt in the Heart of Minsk is situated in the Tsentralny District district of Minsk, 1.9 km from Minsk Sports Palace, 2.3 km from Dinamo Stadium and 2.5 km from Palace of Republic. The air-conditioned accommodation is 1.6 km from Palova Arena, and guests benefit from private parking available on site and free WiFi. The apartment has 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with city views. Olympic Tennis Centre is 5 km from the apartment, while Falcon Club is 6 km from the property. The nearest airport is Minsk National Airport, 44 km from Fully Renovated 2Bdr Apt in the. 
975b6c9e-72cf-48d6-b8a0-7b491713358d;Апартаменты у Dana Mall;29;IMG-975b6c9e-72cf-48d6-b8a0-7b491713358d.jpg;53.93119920,27.65530069;4;1;2;1;Set in Minsk, 5 km from Uruchie Sports Palace and 6 km from Olympic Sports Complex, Апартаменты у Dana Mall offers accommodation with free WiFi, air conditioning, a shared lounge and a garden. The property features city views and is 7 km from Shooting Centre Sporting Club and 8 km from Shooting Centre. The apartment comes with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a balcony with garden views. For added convenience, the property can provide towels and bed linen for an extra charge. Staff at the 24-hour front desk speak English and Russian. A casino and a children's playground are available for guests at the apartment. Palace of Republic is 9 km from Апартаменты у Dana Mall, while Minsk Sports Palace is 9 km away. The nearest airport is Minsk National Airport, 36 km from the accommodation. 
d155c3c2-b971-47fa-951f-318cbe77f87b;Akademicheskaya Hotel;53;IMG-d155c3c2-b971-47fa-951f-318cbe77f87b.jpg;53.92081622,27.60233402;3;3;2;2;Featuring a bar, Akademicheskaya Hotel is set in Minsk in the Minsk region, 600 m from Olympic Sports Complex and 5 km from Palace of Republic. Among the facilities of this property are a restaurant, a 24-hour front desk and room service, along with free WiFi. The hotel features family rooms. At the hotel, all rooms are equipped with a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels. Every room comes with a kettle, while some rooms come with a balcony and others also have city views. Dinamo Stadium is 5 km from Akademicheskaya Hotel, while Palova Arena is 6 km away. The nearest airport is Minsk National Airport, 44 km from the accommodation. 
382bd5d6-f421-4542-9002-a7608bb9c7cb;Green City Hotel;57;IMG-382bd5d6-f421-4542-9002-a7608bb9c7cb.jpg;53.90836580,27.42985980;4;2;3;1;Located in Minsk, Green City Hotel offers free WiFi and free parking. The rooms feature air conditioning and flat-screen TV with satellite channels. The bathrooms include a hairdryer. Other facilities include a 24-hour front desk, luggage storage and a conference hall. Kamennaya Horka metro station is a 6-minute walk away. Minsk Train Station is 9 km away, and Minsk National Airport is 60 km from Green City Hotel. 
58112a65-4c59-4e34-a5b9-429108f7bced;SO Lovely apt in heart of historical downtown NEW;47;IMG-58112a65-4c59-4e34-a5b9-429108f7bced.jpg;53.90211800,27.55467400;3;3;4;2;SO Lovely apt in heart of historical downtown NEW is located in the Tsentralny District district of Minsk, 800 m from Dinamo Stadium, 1 km from Palova Arena and 1 km from Minsk Sports Palace. It is situated 400 m from Palace of Republic and features a 24-hour front desk. The apartment has 1 bedroom, a flat-screen TV with cable channels, an equipped kitchen with a microwave and a fridge, a washing machine, and 1 bathroom with a shower. Towels and bed linen are offered in this accommodation. Olympic Tennis Centre is 3.4 km from the apartment, while Olympic Sports Complex is 4 km from the property. The nearest airport is Minsk National, 31 km from SO Lovely apt in heart of, and the property offers a paid airport shuttle service. 
48cfb411-cdda-4632-9601-0680b64d0670;Anna 3 Apartment on Nezavisimosti 23;70;IMG-48cfb411-cdda-4632-9601-0680b64d0670.jpg;53.90095011,27.56066322;4;1;3;1;In the Leninsky District district of Minsk, close to Palace of Republic, Anna 3 Apartment on Nezavisimosti 23 features free WiFi and a washing machine. The property, housed in a building dating from 1950, is 5 km from Olympic Sports Complex and 5 km from Olympic Tennis Centre. The apartment is equipped with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a balcony with city views. For added convenience, the property can provide towels and bed linen for an extra charge. Popular points of interest near the apartment include Dinamo Stadium, Palova Arena and Minsk Sports Palace. The nearest airport is Minsk National, 40 km from Anna 3 Apartment on Nezavisimosti 2, and the property offers a paid airport shuttle service. 
440b8703-b560-4bca-8fc8-042189e2714a;VIP Apartments in Center;58;IMG-440b8703-b560-4bca-8fc8-042189e2714a.jpg;53.90284253,27.56729497;6;3;1;2;Set in Minsk, less than 1 km from Palace of Republic and a 15-minute walk from Dinamo Stadium, VIP Apartments in Center offers river views and free WiFi. The apartment provides guests with a balcony, city views, a seating area, cable flat-screen TV, a fully equipped kitchen with a dishwasher and a microwave, and a private bathroom with shower and slippers. A fridge, an oven and stovetop are also offered, as well as a kettle. Both a bicycle rental service and a car rental service are available at VIP Apartments in Center. Palova Arena is 2.1 km from the accommodation, while Minsk Sports Palace is 2.4 km from the property. The nearest airport is Minsk National, 41 km from VIP Apartments in Center, and the property offers a paid airport shuttle service. 
de60ee14-b1a5-4638-b418-2eec3236c1fc;Slavyanskaya Hotel;66;IMG-de60ee14-b1a5-4638-b418-2eec3236c1fc.jpg;53.93359817,27.47720611;5;3;2;1;Offering a la carte restaurant and shared lounge, Slavyanskaya Hotel is located in Minsk, a 3-minute walk from Minsk Arena. Free parking is available on site. Rooms here will provide you with a flat-screen TV and air conditioning. The private bathrooms come with a hairdryer and free toiletries. Extras include a desk. Guests are welcome to visit the on-site restaurant and taste European and Belorussian cuisine. There is a tour desk at the hotel. Drozdy Water reserve with forest is located a 10-minute walk from Slavyanskaya Hotel. A water park is a 5-minute drive from the property. Minsk Airport is located a 40-minute drive from the hotel, and Masyukovshchina Train Station is a 5-minute walk away. 
